track_id,market,total_streams,rank,track_name,artist,genre_harmonized,year,success_score,danceability,energy,valence
3iEqGBZ2wcpVzhiAcwXVC6,UK,2618989.0,106.36363636363636,If You’re Too Shy (Let Me Know) - Edit,The 1975,Rock,2020,61.79374148780138,0.6509999999999999,0.8059999999999999,0.386
6a1hzBiTkgqTsDA0Xgfh9z,UK,6005834.0,73.69767441860465,Santa Claus Is Coming To Town,The Jackson 5,Other,2021,61.79249129327317,0.682,0.5770000000000001,0.943
7m9OqQk4RVRkw9JJdeAw96,DE,1809280.0,175.33333333333334,Jocelyn Flores,XXXTENTACION,Hip-Hop,2021,61.78842876104566,0.872,0.391,0.4370000000000001
0tgVpDi06FyKpA1z0VMD4v,UK,11852499.0,159.43577981651376,Perfect,Ed Sheeran,Pop,2021,61.78401853359373,0.599,0.448,0.168
5OzvtpasMB3aPWpfVr0PsA,BR,27834063.0,83.70370370370371,Pode Sumir,Luíza & Maurílio,Pop,2020,61.782748255252955,0.7170000000000001,0.7170000000000001,0.628
3nrxsQEntBXdY5JoqA39ES,UK,790647.0,2.3636363636363638,Hard For Me,Michele Morrone,Other,2020,61.781850652697585,0.505,0.293,0.16
7eyc03SmeBHnAtTQP9QbI4,DE,880402.0,106.0,Was soll passieren,"Ufo361, Sonus030, Data Luv",Hip-Hop,2020,61.77463917029111,0.8009999999999999,0.706,0.588
0FOt5dYyEyqmoeI4TqGMwK,DE,1759309.0,89.2,Gold in der Fresse,Bonez MC,Hip-Hop,2020,61.773017854647826,0.831,0.539,0.184
5QTxFnGygVM4jFQiBovmRo,UK,296318.0,71.66666666666667,(Don't Fear) The Reaper,Blue Öyster Cult,Rock,2021,61.76340618835624,0.333,0.927,0.385
32gEHOmBV9LQKaCBqkPWEU,BR,470542.0,100.66666666666667,Salvaje,Pabllo Vittar,Pop,2020,61.76216403703672,0.8490000000000001,0.542,0.277
3eekarcy7kvN4yt5ZFzltW,BR,9689373.0,146.31132075471697,HIGHEST IN THE ROOM,Travis Scott,Hip-Hop,2020,61.76172520837678,0.598,0.4270000000000001,0.0605
0vWUhCPxpJOJR5urYbZypB,DE,42677757.5,87.24289405684755,Hypnotized,"Purple Disco Machine, Sophie and the Giants",Electronic,2021,61.75810102821101,0.69,0.813,0.7040000000000001
0sci7ppTZFm4mjcH3nu8yO,UK,1522448.0,107.70588235294117,nasty,Ariana Grande,Pop,2020,61.754869209384985,0.772,0.506,0.456
1UA7l6cbAukGucRgAUVePo,BR,3619315.0,114.35714285714286,Se Namorar Fosse Bom - Ao Vivo,Os Barões Da Pisadinha,Latin,2020,61.732837489824085,0.6579999999999999,0.925,0.933
5nig9Lat8txvMYLoYgTTAP,DE,2023219.0,85.78571428571429,LIT,KALIM,Hip-Hop,2020,61.71844580187974,0.7809999999999999,0.6940000000000001,0.183
4aRRxKxJbvIEjXWXB0l3w7,UK,1630168.0,55.75,New Dior,"DigDat, D-Block Europe",Other,2020,61.71645865485553,0.7290000000000001,0.531,0.384
285pBltuF7vW8TeWk8hdRR,DE,39537239.0,150.5731707317073,Lucid Dreams,Juice WRLD,Hip-Hop,2021,61.71100438079441,0.511,0.5660000000000001,0.218
3OcAjdtEodAzHpa6cc0rxm,BR,970217.0,60.375,Quizá,"RBD, Anahí, Dulce María, Maite Perroni, Christian Chávez, Christopher von Uckermann, Alfonso Herrera",Pop,2020,61.708326779390326,0.5589999999999999,0.588,0.568
